"conceptSetId","conceptSetName","conceptId","conceptName","standardConcept","invalidReason","conceptCode","vocabularyId"
59,"[C01][AI1] SLE",257628,"Systemic lupus erythematosus","S","V","55464009","SNOMED"
59,"[C01][AI1] SLE",4055640,"Lung disease with systemic lupus erythematosus","S","V","196138005","SNOMED"
59,"[C01][AI1] SLE",4057084,"Lupus hepatitis","S","V","19682006","SNOMED"
59,"[C01][AI1] SLE",4101469,"Pericarditis secondary to systemic lupus erythematosus","S","V","25380002","SNOMED"
59,"[C01][AI1] SLE",4124539,"Lupus pneumonitis","S","V","233730002","SNOMED"
59,"[C01][AI1] SLE",4178133,"SLE glomerulonephritis syndrome, WHO class V","S","V","52042003","SNOMED"
59,"[C01][AI1] SLE",4186940,"SLE glomerulonephritis syndrome, WHO class II","S","V","4676006","SNOMED"
59,"[C01][AI1] SLE",4203919,"Nonbacterial verrucal endocardiosis","S","V","54072008","SNOMED"
59,"[C01][AI1] SLE",4250483,"SLE glomerulonephritis syndrome, WHO class I","S","V","73286009","SNOMED"
59,"[C01][AI1] SLE",4267801,"SLE glomerulonephritis syndrome, WHO class IV","S","V","36402006","SNOMED"
59,"[C01][AI1] SLE",4285717,"SLE glomerulonephritis syndrome","S","V","68815009","SNOMED"
59,"[C01][AI1] SLE",4295179,"Acute systemic lupus erythematosus","S","V","403486000","SNOMED"
59,"[C01][AI1] SLE",4296502,"Fulminating systemic lupus erythematosus","S","V","403487009","SNOMED"
59,"[C01][AI1] SLE",4297164,"SLE glomerulonephritis syndrome, WHO class III","S","V","76521009","SNOMED"
59,"[C01][AI1] SLE",4299106,"Lupus disease of the lung","S","V","77753005","SNOMED"
59,"[C01][AI1] SLE",4344158,"Systemic lupus erythematosus with organ/system involvement","S","V","239887007","SNOMED"
59,"[C01][AI1] SLE",4344400,"Systemic lupus erythematosus with multisystem involvement","S","V","239890001","SNOMED"
59,"[C01][AI1] SLE",4346976,"Bullous systemic lupus erythematosus","S","V","239889005","SNOMED"
59,"[C01][AI1] SLE",36676444,"Autosomal systemic lupus erythematosus","S","V","773333003","SNOMED"
59,"[C01][AI1] SLE",37110517,"Demyelination of central nervous system co-occurrent and due to systemic lupus erythematosus","S","V","724781003","SNOMED"
59,"[C01][AI1] SLE",37395585,"Nephrotic syndrome co-occurrent and due to systemic lupus erythematosus","S","V","295111000119108","SNOMED"
59,"[C01][AI1] SLE",46270384,"Nephropathy co-occurrent and due to systemic lupus erythematosus","S","V","295101000119105","SNOMED"
