"conceptSetId","conceptSetName","conceptId","conceptName","standardConcept","invalidReason","conceptCode","vocabularyId"
60,"[C02][AI1] Rheumatoid Arthritis",80809,"Rheumatoid arthritis","S","V","69896004","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",81097,"Felty's syndrome","S","V","57160007","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",256197,"Rheumatoid lung disease","S","V","398726004","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",603308,"Seronegative rheumatoid arthritis in remission","S","V","16606681000119101","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",603309,"Seropositive rheumatoid arthritis in remission","S","V","16606721000119107","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",607145,"Systemic rheumatoid vasculitis","S","V","1149219001","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",4028118,"Diffuse interstitial rheumatoid disease of lung","S","V","10713006","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",4035611,"Seropositive rheumatoid arthritis","S","V","239791005","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",4083556,"Seronegative rheumatoid arthritis","S","V","239792003","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",4102493,"Polyneuropathy in rheumatoid arthritis","S","V","193180002","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",4103516,"Rheumatoid carditis","S","V","28880005","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",4107913,"Myopathy due to rheumatoid arthritis","S","V","193250002","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",4117686,"Rheumatoid arthritis of multiple joints","S","V","287006005","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",4147418,"Seropositive erosive rheumatoid arthritis","S","V","308143008","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",4162539,"Rheumatoid arthritis with pneumoconiosis","S","V","398640008","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",4184896,"Rheumatoid fibrosing alveolitis","S","V","54867000","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",4243509,"Rheumatoid scleritis","S","V","59165007","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",4269880,"Rheumatoid arteritis","S","V","399923009","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",4271003,"Rheumatoid vasculitis","S","V","400054000","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",4300202,"Rheumatoid episcleritis","S","V","77522006","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",4306357,"Rheumatoid aortitis","S","V","38877003","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",4311391,"Uveitis-rheumatoid arthritis syndrome","S","V","86219005","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",4347065,"Rheumatoid necrotizing vasculitis","S","V","239943002","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",37108714,"Seropositive rheumatoid arthritis of multiple joints","S","V","11055151000119108","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",37117421,"Rheumatoid arthritis in remission","S","V","143441000119108","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",37160376,"Seronegative erosive rheumatoid arthritis","S","V","1162303002","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",37160384,"Rheumatoid factor and anti-citrullinated protein antibody positive rheumatoid arthritis","S","V","1162313005","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",37160390,"Rheumatoid factor and anti-citrullinated protein antibody positive erosive rheumatoid arthritis","S","V","1162319009","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",37160417,"Felty syndrome with seronegative erosive rheumatoid arthritis","S","V","1162362005","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",37160421,"Felty syndrome with seronegative rheumatoid arthritis","S","V","1162364006","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",37160562,"Rheumatoid arthritis with rheumatoid lung disease","S","V","1162677006","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",37163922,"Autoimmune interstitial lung disease, arthritis syndrome","S","V","1222679006","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",37207809,"Seronegative rheumatoid arthritis of multiple joints","S","V","319081000119109","SNOMED"
