"conceptSetId","conceptSetName","conceptId","conceptName","standardConcept","invalidReason","conceptCode","vocabularyId"
60,"[C02][AI1] Rheumatoid Arthritis",78230,"Rheumatoid arthritis with organ / system involvement","N","D","239793008","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",80809,"Rheumatoid arthritis","S","V","69896004","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",81097,"Felty's syndrome","S","V","57160007","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",256197,"Rheumatoid lung disease","S","V","398726004","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",603308,"Seronegative rheumatoid arthritis in remission","S","V","16606681000119101","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",603309,"Seropositive rheumatoid arthritis in remission","S","V","16606721000119107","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",607145,"Systemic rheumatoid vasculitis","S","V","1149219001","SNOMED"
60,"[C02][AI1] Rheumatoid Arthritis",725370,"Rheumatoid arthritis with rheumatoid factor of other specified site without organ or systems involvement","N","V","M05.7A","ICD10CM"
60,"[C02][AI1] Rheumatoid Arthritis",725371,"Other rheumatoid arthritis with rheumatoid factor of other specified site","N","V","M05.8A","ICD10CM"
60,"[C02][AI1] Rheumatoid Arthritis",725372,"Rheumatoid arthritis without rheumatoid factor, other specified site","N","V","M06.0A","ICD10CM"
60,"[C02][AI1] Rheumatoid Arthritis",725373,"Other specified rheumatoid arthritis, other specified site","N","V","M06.8A","ICD10CM"
60,"[C02][AI1] Rheumatoid Arthritis",1348602,"Abnormal rheumatoid factor and anti-citrullinated protein antibody with rheumatoid arthritis","N","V","M05.A","ICD10CM"
60,"[C02][AI1] Rheumatoid Arthritis",1416013,"Rheumatoid lung disease","N","V","J99.0","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419100,"Seropositive rheumatoid arthritis","N","V","M05","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419101,"Felty syndrome","N","V","M05.0","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419102,"Felty syndrome","N","V","M05.000","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419103,"Rheumatoid lung disease","N","V","M05.1","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419104,"Rheumatoid lung disease","N","V","M05.100","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419105,"Alveolitis associated with rheumatoid arthritis (machine translation)","N","V","M05.101","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419106,"Between rheumatoid arthritis with pulmonary fibrosis (machine translation)","N","V","M05.102","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419107,"Rheumatoid pneumoconiosis (machine translation)","N","V","M05.103","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419108,"Rheumatoid vasculitis","N","V","M05.2","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419109,"Rheumatoid vasculitis","N","V","M05.200","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419110,"Rheumatoid arthritis with involvement of other organs and systems","N","V","M05.3","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419111,"Rheumatoid arthritis with involvement of other organs and systems","N","V","M05.300","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419112,"Polyneuropathy associated with rheumatoid arthritis (machine translation)","N","V","M05.301","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419113,"Rheumatoid arthritis associated with cardiomyopathy (machine translation)","N","V","M05.302","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419114,"Rheumatoid arthritis related myopathy (machine translation)","N","V","M05.303","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419115,"Heart inflammation associated with rheumatoid arthritis (machine translation)","N","V","M05.304","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419116,"Pericarditis with rheumatoid arthritis (machine translation)","N","V","M05.305","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419117,"Rheumatoid arthritis with myocarditis (machine translation)","N","V","M05.306","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419118,"Rheumatoid arthritis with endocarditis (machine translation)","N","V","M05.307","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419119,"Rheumatoid arthritis involving the whole body (machine translation)","N","V","M05.308","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419120,"Other seropositive rheumatoid arthritis","N","V","M05.8","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419121,"Other seropositive rheumatoid arthritis","N","V","M05.800","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419122,"Seropositive rheumatoid arthritis, unspecified","N","V","M05.9","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419123,"Seropositive rheumatoid arthritis, unspecified","N","V","M05.900","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419124,"Other rheumatoid arthritis","N","V","M06","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419125,"Seronegative rheumatoid arthritis","N","V","M06.0","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419126,"Seronegative rheumatoid arthritis","N","V","M06.000","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419127,"Recurrent seronegative symmetrical synovitis with pitting edema (machine translation)","N","V","M06.001","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419128,"Remitting seronegative symmetrical synovitis with pitting edema syndrome (machine translation)","N","V","M06.002","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419129,"Synovitis - acne - impetigo - hyperostosis - osteitis syndrome (machine translation)","N","V","M06.003","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419132,"Rheumatoid bursitis","N","V","M06.2","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419133,"Rheumatoid bursitis","N","V","M06.200","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419136,"Other specified rheumatoid arthritis","N","V","M06.8","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419137,"Other specified rheumatoid arthritis","N","V","M06.800","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419138,"Rheumatoid arthritis, unspecified","N","V","M06.9","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419139,"Rheumatoid arthritis, unspecified","N","V","M06.900","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419140,"Rheumatoid arthritis, shoulder (machine translation)","N","V","M06.901","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419141,"Rheumatoid arthritis elbow (machine translation)","N","V","M06.902","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419142,"Rheumatoid arthritis wrist (machine translation)","N","V","M06.903","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419143,"Between rheumatoid arthritis of hand joints (machine translation)","N","V","M06.904","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419144,"Rheumatoid arthritis pelvis and thigh (machine translation)","N","V","M06.905","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419145,"Rheumatoid arthritis of the knee (machine translation)","N","V","M06.906","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419146,"Rheumatoid arthritis ankle (machine translation)","N","V","M06.907","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419147,"Rheumatoid torticollis (machine translation)","N","V","M06.908","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1419148,"Rheumatoid arthritis, multiple sites (machine translation)","N","V","M06.909","ICD10CN"
60,"[C02][AI1] Rheumatoid Arthritis",1569966,"Rheumatoid arthritis with rheumatoid factor","N","V","M05","ICD10CM"
60,"[C02][AI1] Rheumatoid Arthritis",1569967,"Felty's syndrome","N","V","M05.0","ICD10CM"
60,"[C02][AI1] Rheumatoid Arthritis",1569968,"Felty's syndrome, shoulder","N","V","M05.01","ICD10CM"
60,"[C02][AI1] Rheumatoid Arthritis",1569969,"Felty's syndrome, elbow","N","V","M05.02","ICD10CM"
60,"[C02][AI1] Rheumatoid Arthritis",1569970,"Felty's syndrome, wrist","N","V","M05.03","ICD10CM"
60,"[C02][AI1] Rheumatoid Arthritis",1569971,"Felty's syndrome, hand","N","V","M05.04","ICD10CM"
60,"[C02][AI1] Rheumatoid Arthritis",1569972,"Felty's syndrome, hip","N","V","M05.05","ICD10CM"
60,"[C02][AI1] Rheumatoid Arthritis",1569973,"Felty's syndrome, knee","N","V","M05.06","ICD10CM"
60,"[C02][AI1] Rheumatoid Arthritis",1569974,"Felty's syndrome, ankle and foot","N","V","M05.07","ICD10CM"
