"conceptSetId","conceptSetName","conceptId","conceptName","standardConcept","invalidReason","conceptCode","vocabularyId"
62,"[C04][AI1] Deep Vein Thrombosis",762013,"Acute deep venous thrombosis of right femoral vein","S","V","285401000119104","SNOMED"
62,"[C04][AI1] Deep Vein Thrombosis",762015,"Acute deep venous thrombosis of ileofemoral vein of left leg","S","V","285451000119100","SNOMED"
62,"[C04][AI1] Deep Vein Thrombosis",762020,"Acute deep venous thrombosis of bilateral popliteal veins","S","V","285561000119102","SNOMED"
62,"[C04][AI1] Deep Vein Thrombosis",762021,"Acute deep venous thrombosis of popliteal vein of left leg","S","V","285571000119108","SNOMED"
62,"[C04][AI1] Deep Vein Thrombosis",762022,"Acute deep venous thrombosis of popliteal vein of right leg","S","V","285581000119106","SNOMED"
62,"[C04][AI1] Deep Vein Thrombosis",762148,"Acute deep vein thrombosis of bilateral iliac veins","S","V","293471000119106","SNOMED"
62,"[C04][AI1] Deep Vein Thrombosis",765155,"Acute deep venous thrombosis of bilateral ileofemoral veins","S","V","285441000119102","SNOMED"
62,"[C04][AI1] Deep Vein Thrombosis",765540,"Acute deep venous thrombosis of left femoral vein","S","V","285391000119101","SNOMED"
62,"[C04][AI1] Deep Vein Thrombosis",765541,"Acute deep venous thrombosis of ileofemoral vein of right lower extremity","S","V","285461000119103","SNOMED"
62,"[C04][AI1] Deep Vein Thrombosis",1569353,"Acute embolism and thrombosis of femoral vein","N","V","I82.41","ICD10CM"
62,"[C04][AI1] Deep Vein Thrombosis",1569355,"Acute embolism and thrombosis of popliteal vein","N","V","I82.43","ICD10CM"
62,"[C04][AI1] Deep Vein Thrombosis",1569357,"Acute embolism and thrombosis of other specified deep vein of lower extremity","N","V","I82.49","ICD10CM"
62,"[C04][AI1] Deep Vein Thrombosis",1569358,"Acute embolism and thrombosis of unspecified deep veins of proximal lower extremity","N","V","I82.4Y","ICD10CM"
62,"[C04][AI1] Deep Vein Thrombosis",1569359,"Acute embolism and thrombosis of unspecified deep veins of distal lower extremity","N","V","I82.4Z","ICD10CM"
62,"[C04][AI1] Deep Vein Thrombosis",3180681,"Acute deep vein thrombosis of right iliac vein","N","V","293481000119109","Nebraska Lexicon"
62,"[C04][AI1] Deep Vein Thrombosis",3186855,"Acute deep venous thrombosis of politeal vein of right leg","N","V","285581000119106","Nebraska Lexicon"
62,"[C04][AI1] Deep Vein Thrombosis",3227738,"Acute deep venous thrombosis of iliofemoral vein","N","V","132301000119107","Nebraska Lexicon"
62,"[C04][AI1] Deep Vein Thrombosis",3240254,"Acute deep venous thrombosis of bilateral popliteal veins","N","V","285561000119102","Nebraska Lexicon"
62,"[C04][AI1] Deep Vein Thrombosis",3250489,"Acute deep venous thrombosis of bilateral ileofemoral veins","N","V","285441000119102","Nebraska Lexicon"
62,"[C04][AI1] Deep Vein Thrombosis",3277801,"Acute deep venous thrombosis of ileofemoral vein of right lower extremity","N","V","285461000119103","Nebraska Lexicon"
62,"[C04][AI1] Deep Vein Thrombosis",3279156,"Acute deep venous thrombosis","N","V","132281000119108","Nebraska Lexicon"
62,"[C04][AI1] Deep Vein Thrombosis",3282497,"Acute deep venous thrombosis of femoral vein","N","V","132291000119106","Nebraska Lexicon"
62,"[C04][AI1] Deep Vein Thrombosis",3290516,"Acute deep venous thrombosis of popliteal vein of left leg","N","V","285571000119108","Nebraska Lexicon"
62,"[C04][AI1] Deep Vein Thrombosis",3303897,"Acute deep vein thrombosis of bilateral iliac veins","N","V","293471000119106","Nebraska Lexicon"
62,"[C04][AI1] Deep Vein Thrombosis",3320910,"Deep venous thrombosis of femoropopliteal vein","N","V","703277001","Nebraska Lexicon"
62,"[C04][AI1] Deep Vein Thrombosis",3320914,"Acute deep vein thrombosis of left iliac vein","N","V","293491000119107","Nebraska Lexicon"
62,"[C04][AI1] Deep Vein Thrombosis",3335090,"Acute deep venous thrombosis of bilateral femoral veins","N","V","285381000119104","Nebraska Lexicon"
62,"[C04][AI1] Deep Vein Thrombosis",3336143,"Acute deep venous thrombosis of right femoral vein","N","V","285401000119104","Nebraska Lexicon"
62,"[C04][AI1] Deep Vein Thrombosis",3339593,"Acute deep venous thrombosis of ileofemoral vein of left lower extremity","N","V","285451000119100","Nebraska Lexicon"
62,"[C04][AI1] Deep Vein Thrombosis",3347179,"Acute deep venous thrombosis of popliteal vein","N","V","132251000119101","Nebraska Lexicon"
62,"[C04][AI1] Deep Vein Thrombosis",3351121,"Acute deep vein thrombosis of lower limb","N","V","651000119108","Nebraska Lexicon"
62,"[C04][AI1] Deep Vein Thrombosis",3365800,"Acute deep venous thrombosis of thigh","N","V","132271000119105","Nebraska Lexicon"
62,"[C04][AI1] Deep Vein Thrombosis",3373345,"Acute thrombosis of inferior vena cava","N","V","15712161000119106","Nebraska Lexicon"
62,"[C04][AI1] Deep Vein Thrombosis",3406996,"Acute deep venous thrombosis of left femoral vein","N","V","285391000119101","Nebraska Lexicon"
62,"[C04][AI1] Deep Vein Thrombosis",3407739,"Deep venous thrombosis of profunda femoris vein","N","V","427775006","Nebraska Lexicon"
62,"[C04][AI1] Deep Vein Thrombosis",4322565,"Deep venous thrombosis of profunda femoris vein","S","V","427775006","SNOMED"
62,"[C04][AI1] Deep Vein Thrombosis",35616027,"Acute deep vein thrombosis of right iliac vein","S","V","293481000119109","SNOMED"
62,"[C04][AI1] Deep Vein Thrombosis",35616028,"Acute deep vein thrombosis of left iliac vein","S","V","293491000119107","SNOMED"
62,"[C04][AI1] Deep Vein Thrombosis",37109253,"Bilateral acute deep vein thrombosis of femoral veins","S","V","285381000119104","SNOMED"
62,"[C04][AI1] Deep Vein Thrombosis",37689345,"Deep venous thrombosis femoral","C","V","10049916","MedDRA"
62,"[C04][AI1] Deep Vein Thrombosis",43531681,"Acute deep vein thrombosis of lower limb","S","V","651000119108","SNOMED"
62,"[C04][AI1] Deep Vein Thrombosis",44782743,"Acute deep venous thrombosis of popliteal vein","S","V","132251000119101","SNOMED"
62,"[C04][AI1] Deep Vein Thrombosis",44782745,"Acute deep venous thrombosis of thigh","S","V","132271000119105","SNOMED"
62,"[C04][AI1] Deep Vein Thrombosis",44782746,"Acute deep venous thrombosis","S","V","132281000119108","SNOMED"
62,"[C04][AI1] Deep Vein Thrombosis",44782747,"Acute deep venous thrombosis of femoral vein","S","V","132291000119106","SNOMED"
62,"[C04][AI1] Deep Vein Thrombosis",44782748,"Acute deep venous thrombosis of iliofemoral vein","S","V","132301000119107","SNOMED"
62,"[C04][AI1] Deep Vein Thrombosis",44819730,"Acute venous embolism and thrombosis of deep vessels of distal lower extremity","N","V","453.42","ICD9CM"
62,"[C04][AI1] Deep Vein Thrombosis",44823131,"Acute venous embolism and thrombosis of unspecified deep vessels of lower extremity","N","V","453.40","ICD9CM"
62,"[C04][AI1] Deep Vein Thrombosis",44831265,"Acute venous embolism and thrombosis of deep vessels of proximal lower extremity","N","V","453.41","ICD9CM"
62,"[C04][AI1] Deep Vein Thrombosis",44832403,"Acute venous embolism and thrombosis of deep vessels of lower extremity","N","V","453.4","ICD9CM"
62,"[C04][AI1] Deep Vein Thrombosis",45533508,"Acute embolism and thrombosis of femoral vein, bilateral","N","V","I82.413","ICD10CM"
62,"[C04][AI1] Deep Vein Thrombosis",45533509,"Acute embolism and thrombosis of unspecified popliteal vein","N","V","I82.439","ICD10CM"
62,"[C04][AI1] Deep Vein Thrombosis",45533510,"Acute embolism and thrombosis of other specified deep vein of right lower extremity","N","V","I82.491","ICD10CM"
62,"[C04][AI1] Deep Vein Thrombosis",45538455,"Acute embolism and thrombosis of other specified deep vein of unspecified lower extremity","N","V","I82.499","ICD10CM"
62,"[C04][AI1] Deep Vein Thrombosis",45552851,"Acute embolism and thrombosis of left popliteal vein","N","V","I82.432","ICD10CM"
62,"[C04][AI1] Deep Vein Thrombosis",45557597,"Acute embolism and thrombosis of unspecified deep veins of right distal lower extremity","N","V","I82.4Z1","ICD10CM"
62,"[C04][AI1] Deep Vein Thrombosis",45562405,"Acute embolism and thrombosis of right popliteal vein","N","V","I82.431","ICD10CM"
62,"[C04][AI1] Deep Vein Thrombosis",45567235,"Acute embolism and thrombosis of other specified deep vein of lower extremity, bilateral","N","V","I82.493","ICD10CM"
62,"[C04][AI1] Deep Vein Thrombosis",45572138,"Acute embolism and thrombosis of unspecified deep veins of left proximal lower extremity","N","V","I82.4Y2","ICD10CM"
62,"[C04][AI1] Deep Vein Thrombosis",45572139,"Acute embolism and thrombosis of unspecified deep veins of left distal lower extremity","N","V","I82.4Z2","ICD10CM"
62,"[C04][AI1] Deep Vein Thrombosis",45576923,"Acute embolism and thrombosis of unspecified deep veins of proximal lower extremity, bilateral","N","V","I82.4Y3","ICD10CM"
62,"[C04][AI1] Deep Vein Thrombosis",45581820,"Acute embolism and thrombosis of right femoral vein","N","V","I82.411","ICD10CM"
62,"[C04][AI1] Deep Vein Thrombosis",45586635,"Acute embolism and thrombosis of left femoral vein","N","V","I82.412","ICD10CM"
62,"[C04][AI1] Deep Vein Thrombosis",45586636,"Acute embolism and thrombosis of unspecified deep veins of unspecified distal lower extremity","N","V","I82.4Z9","ICD10CM"
62,"[C04][AI1] Deep Vein Thrombosis",45596251,"Acute embolism and thrombosis of popliteal vein, bilateral","N","V","I82.433","ICD10CM"
62,"[C04][AI1] Deep Vein Thrombosis",45596253,"Acute embolism and thrombosis of other specified deep vein of left lower extremity","N","V","I82.492","ICD10CM"
