"conceptSetId","conceptSetName","conceptId","conceptName","standardConcept","invalidReason","conceptCode","vocabularyId"
64,"[C06][AI1] Uveitis",434026,"Pars planitis","S","V","45688009","SNOMED"
64,"[C06][AI1] Uveitis",434638,"Paramacular focal retinitis AND retinochoroiditis","S","V","42031001","SNOMED"
64,"[C06][AI1] Uveitis",435811,"Harada's disease","N","U","47230004","SNOMED"
64,"[C06][AI1] Uveitis",436642,"Behcet's syndrome","S","V","310701003","SNOMED"
64,"[C06][AI1] Uveitis",438739,"Sympathetic uveitis","S","V","75315001","SNOMED"
64,"[C06][AI1] Uveitis",438744,"Acute posterior multifocal placoid pigment epitheliopathy","S","V","89188001","SNOMED"
64,"[C06][AI1] Uveitis",439014,"Panuveitis","S","V","75614007","SNOMED"
64,"[C06][AI1] Uveitis",439810,"Vogt-Koyanagi syndrome","N","U","44923005","SNOMED"
64,"[C06][AI1] Uveitis",606384,"Behcet disease of eye","S","V","1144919009","SNOMED"
64,"[C06][AI1] Uveitis",908219,"Birdshot Chorioretinopathy","N","V","D000080365","MeSH"
64,"[C06][AI1] Uveitis",908245,"Multifocal Choroiditis","N","V","D000080364","MeSH"
64,"[C06][AI1] Uveitis",1077042,"Right posterior cyclitis","S","V","333061000119106","SNOMED"
64,"[C06][AI1] Uveitis",1077085,"Left posterior cyclitis","S","V","338671000119100","SNOMED"
64,"[C06][AI1] Uveitis",1077117,"Bilateral posterior cyclitis","S","V","344441000119104","SNOMED"
64,"[C06][AI1] Uveitis",1200639,"Serpiginous choroiditis","C","V","10081652","MedDRA"
64,"[C06][AI1] Uveitis",1246270,"Right juxtapapillary focal chorioretinitis","S","V","334641000119103","SNOMED"
64,"[C06][AI1] Uveitis",1246308,"Left juxtapapillary focal chorioretinitis","S","V","340241000119106","SNOMED"
64,"[C06][AI1] Uveitis",1246366,"Bilateral juxtapapillary focal chorioretinitis","S","V","345601000119100","SNOMED"
64,"[C06][AI1] Uveitis",1334604,"Vogt-Koyanagi-Harada disease","C","V","10082001","MedDRA"
64,"[C06][AI1] Uveitis",1412808,"Posterior cyclitis","N","V","H30.2","ICD10CN"
64,"[C06][AI1] Uveitis",1412809,"Posterior cyclitis","N","V","H30.200","ICD10CN"
64,"[C06][AI1] Uveitis",1419829,"Behçet disease","N","V","M35.2","ICD10CN"
64,"[C06][AI1] Uveitis",1419830,"Behçet disease","N","V","M35.200","ICD10CN"
64,"[C06][AI1] Uveitis",1419831,"Behcet's disease arthritis (machine translation)","N","V","M35.201","ICD10CN"
64,"[C06][AI1] Uveitis",1419832,"Behcet's disease of genital ulcers (machine translation)","N","V","M35.202","ICD10CN"
64,"[C06][AI1] Uveitis",1419833,"Neurological Behcet's disease (machine translation)","N","V","M35.203","ICD10CN"
64,"[C06][AI1] Uveitis",1568679,"Focal chorioretinal inflammation, juxtapapillary","N","V","H30.01","ICD10CM"
64,"[C06][AI1] Uveitis",1568682,"Focal chorioretinal inflammation, macular or paramacular","N","V","H30.04","ICD10CM"
64,"[C06][AI1] Uveitis",1568688,"Posterior cyclitis","N","V","H30.2","ICD10CM"
64,"[C06][AI1] Uveitis",3075068,"Chronic iridocyclitis","N","D","75685000","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3081649,"Chronic iridocyclitis","N","D","193491003","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3104868,"Behcet's disease","N","U","154424000","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3105479,"Chronic cyclitis","N","U","155118006","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3123111,"Symptomatic torsion dystonia","N","U","192853001","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3123498,"Posterior cyclitis","N","U","193452008","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3123499,"Vogt-Koyanagi-Harada disease","N","U","193453003","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3123526,"Chronic anterior uveitis","N","U","193494006","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3146730,"Chronic anterior uveitis","N","U","308126005","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3157188,"Chronic cyclitis","N","U","398322000","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3158273,"Behçet's syndrome","N","U","41225007","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3159827,"Vogt-Koyanagi-Harada syndrome","N","U","44923005","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3160113,"Harada disease","N","U","47230004","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3162330,"Juxtapapillary focal retinochoroiditis","N","U","699760008","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3165091,"Vogt-Koyanagi-Harada like syndrome","N","U","95708004","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3168491,"Birdshot retinochoroidopathy","N","V","231981005","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3219139,"Macular focal chorioretinitis","N","V","42031001","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3220824,"Idiopathic panuveitis","N","V","766933000","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3242494,"Noninfectious panuveitis","N","V","733337008","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3243910,"Juxtapapillary focal chorioretinitis","N","V","193436005","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3270689,"Diffuse uveitis","N","V","75614007","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3291297,"Pars planitis","N","V","45688009","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3297579,"Serpiginous choroidal dystrophy","N","V","312491004","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3305540,"Punctate inner choroidopathy","N","V","312950007","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3315813,"Sarcoid uveitis","N","V","415359008","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3316048,"Peripheral focal retinochoroiditis","N","V","193438006","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3328818,"Sympathetic ophthalmitis","N","V","75315001","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3330996,"Panuveitis in Behcet syndrome","N","V","410481000","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3341282,"Posterior uveitis","N","V","43363007","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3349193,"Multifocal choroiditis and panuveitis syndrome","N","V","414784001","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3349932,"Posterior cyclitis","N","V","314428001","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3351267,"Macular focal choroiditis","N","V","336911000119104","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3355140,"Multifocal choroiditis","N","V","414783007","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3363872,"Vogt-Koyanagi syndrome","N","V","193497004","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3371934,"Adamantiades-Behcet disease","N","V","310701003","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3402825,"Acute posterior multifocal placoid pigment epitheliopathy","N","V","89188001","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3408350,"Chronic posterior cyclitis","N","V","314429009","Nebraska Lexicon"
64,"[C06][AI1] Uveitis",3529793,"Multifocal choroiditis","N","U","503851000000103","SNOMED"
64,"[C06][AI1] Uveitis",3530002,"Multifocal choroiditis","N","U","509681000000106","SNOMED"
64,"[C06][AI1] Uveitis",3530030,"Punctate inner choroidopathy","N","U","510301000000104","SNOMED"
64,"[C06][AI1] Uveitis",3655801,"Non-infectious posterior uveitis","S","V","870199008","SNOMED"
64,"[C06][AI1] Uveitis",4102047,"Juxtapapillary focal chorioretinitis","S","V","193436005","SNOMED"
64,"[C06][AI1] Uveitis",4108968,"Vogt-Koyanagi-Harada disease","S","V","193497004","SNOMED"
64,"[C06][AI1] Uveitis",4109407,"Peripheral focal retinochoroiditis","S","V","193438006","SNOMED"
64,"[C06][AI1] Uveitis",4183040,"Posterior uveitis","S","V","43363007","SNOMED"
64,"[C06][AI1] Uveitis",4190954,"Sarcoid uveitis","S","V","415359008","SNOMED"
64,"[C06][AI1] Uveitis",4194295,"Serpiginous choroiditis","S","V","312491004","SNOMED"
64,"[C06][AI1] Uveitis",4197154,"Posterior cyclitis","S","V","314428001","SNOMED"
64,"[C06][AI1] Uveitis",4197155,"Intermediate uveitis","S","V","314429009","SNOMED"
64,"[C06][AI1] Uveitis",4210135,"Punctate inner choroidopathy","S","V","312950007","SNOMED"
64,"[C06][AI1] Uveitis",4212319,"Multifocal choroiditis and panuveitis syndrome","S","V","414784001","SNOMED"
64,"[C06][AI1] Uveitis",4214659,"Multifocal choroiditis","S","V","414783007","SNOMED"
64,"[C06][AI1] Uveitis",4253619,"Panuveitis in Behcet's syndrome","S","V","410481000","SNOMED"
64,"[C06][AI1] Uveitis",4317973,"Vogt-Koyanagi-Harada like syndrome","N","U","95708004","SNOMED"
64,"[C06][AI1] Uveitis",4334133,"Birdshot chorioretinitis","S","V","231981005","SNOMED"
64,"[C06][AI1] Uveitis",35208833,"Behcet's disease","N","V","M35.2","ICD10CM"
64,"[C06][AI1] Uveitis",35607070,"Cyclitic membrane","C","V","10052119","MedDRA"
64,"[C06][AI1] Uveitis",35607076,"Sympathetic ophthalmia","C","V","10042742","MedDRA"
64,"[C06][AI1] Uveitis",35607140,"Vogt-Koyanagi-Harada syndrome","C","V","10047680","MedDRA"
64,"[C06][AI1] Uveitis",35624273,"Idiopathic panuveitis","S","V","766933000","SNOMED"
64,"[C06][AI1] Uveitis",35708637,"Behcet's syndrome","C","V","10004213","MedDRA"
64,"[C06][AI1] Uveitis",35741516,"Behcet's disease","C","V","10004212","MedDRA"
64,"[C06][AI1] Uveitis",36676800,"Idiopathic posterior uveitis","S","V","773991005","SNOMED"
64,"[C06][AI1] Uveitis",36684637,"Panuveitis of right eye","S","V","333391000119101","SNOMED"
64,"[C06][AI1] Uveitis",36684701,"Panuveitis of left eye","S","V","339001000119107","SNOMED"
64,"[C06][AI1] Uveitis",36684767,"Bilateral panuveitis of eyes","S","V","344751000119109","SNOMED"
64,"[C06][AI1] Uveitis",37083992,"Posterior cyclitis","N","V","H30.2","ICD10GM"
64,"[C06][AI1] Uveitis",37088177,"Behçet disease","N","V","M35.2","ICD10GM"
64,"[C06][AI1] Uveitis",37116578,"Noninfectious panuveitis","S","V","733337008","SNOMED"
64,"[C06][AI1] Uveitis",37164507,"Multiple sclerosis associated intermediate uveitis","S","V","1231232007","SNOMED"
64,"[C06][AI1] Uveitis",37164696,"Intermediate uveitis due to sarcoidosis","S","V","1231665007","SNOMED"
64,"[C06][AI1] Uveitis",37164707,"Sarcoid panuveitis","S","V","1231680001","SNOMED"
64,"[C06][AI1] Uveitis",37171369,"Bilateral macular focal choroiditis","S","V","345241000119101","SNOMED"
64,"[C06][AI1] Uveitis",37171370,"Bilateral macular focal chorioretinitis","S","V","345251000119104","SNOMED"
64,"[C06][AI1] Uveitis",37606678,"Behçet disease","N","V","M35.2","CIM10"
64,"[C06][AI1] Uveitis",37608777,"Posterior cyclitis","N","V","H30.2","CIM10"
64,"[C06][AI1] Uveitis",40320119,"Behcet's disease","N","U","154424000","SNOMED"
64,"[C06][AI1] Uveitis",40385206,"(Posterior cyclitis) or (pars planitis)","N","U","193452008","SNOMED"
64,"[C06][AI1] Uveitis",40385207,"Vogt-Koyanagi-Harada disease","N","U","193453003","SNOMED"
64,"[C06][AI1] Uveitis",40570565,"Chronic cyclitis","N","U","398322000","SNOMED"
64,"[C06][AI1] Uveitis",40585629,"Behçet's syndrome","N","D","41225007","SNOMED"
64,"[C06][AI1] Uveitis",42487757,"Posterior cyclitis","N","V","H30.2","KCD7"
64,"[C06][AI1] Uveitis",42491943,"Behcet’s disease","N","V","M35.2","KCD7"
64,"[C06][AI1] Uveitis",42491944,"Behcet’s disease with neurological manifestation","N","V","M35.20","KCD7"
64,"[C06][AI1] Uveitis",42491945,"Behcet’s disease with gastrointestinal manifestation","N","V","M35.21","KCD7"
64,"[C06][AI1] Uveitis",42491946,"Behcet’s disease with cardiovascular manifestation","N","V","M35.22","KCD7"
64,"[C06][AI1] Uveitis",42491947,"Behcet’s disease with other manifestation","N","V","M35.28","KCD7"
64,"[C06][AI1] Uveitis",42491948,"Behcet’s disease, unspecified","N","V","M35.29","KCD7"
64,"[C06][AI1] Uveitis",43053759,"Birdshot chorioretinopathy","C","V","10072959","MedDRA"
64,"[C06][AI1] Uveitis",44783670,"Juxtapapillary focal retinochoroiditis","N","U","699760008","SNOMED"
64,"[C06][AI1] Uveitis",44819417,"Behcet's syndrome","N","V","136.1","ICD9CM"
64,"[C06][AI1] Uveitis",44820791,"Focal retinitis and retinochoroiditis, macular or paramacular","N","V","363.06","ICD9CM"
64,"[C06][AI1] Uveitis",44823047,"Disseminated retinitis and retinochoroiditis, pigment epitheliopathy","N","V","363.15","ICD9CM"
64,"[C06][AI1] Uveitis",44824181,"Vogt-koyanagi syndrome","N","V","364.24","ICD9CM"
64,"[C06][AI1] Uveitis",44828891,"Sympathetic uveitis","N","V","360.11","ICD9CM"
64,"[C06][AI1] Uveitis",44831154,"Pars planitis","N","V","363.21","ICD9CM"
64,"[C06][AI1] Uveitis",44833471,"Focal retinitis and retinochoroiditis of other posterior pole","N","V","363.07","ICD9CM"
64,"[C06][AI1] Uveitis",44834651,"Harada's disease","N","V","363.22","ICD9CM"
64,"[C06][AI1] Uveitis",44835847,"Panuveitis","N","V","360.12","ICD9CM"
64,"[C06][AI1] Uveitis",45423469,"Harada's disease","N","V","F432400","Read"
64,"[C06][AI1] Uveitis",45426733,"Multifocal choroiditis","N","V","F430800","Read"
64,"[C06][AI1] Uveitis",45439978,"Vogt-Koyanagi syndrome","N","V","F442300","Read"
64,"[C06][AI1] Uveitis",45446613,"Sympathetic uveitis","N","V","F401000","Read"
64,"[C06][AI1] Uveitis",45449940,"Focal juxtapapillary retinitis","N","V","F430400","Read"
64,"[C06][AI1] Uveitis",45470221,"Peripheral focal retinochoroiditis","N","V","F430700","Read"
64,"[C06][AI1] Uveitis",45473482,"Focal macular retinochoroiditis","N","V","F430500","Read"
64,"[C06][AI1] Uveitis",45479895,"Behcet's syndrome","N","V","AD61.00","Read"
64,"[C06][AI1] Uveitis",45490125,"Punctate inner choroidopathy","N","V","F431600","Read"
64,"[C06][AI1] Uveitis",45496656,"Vogt's disease","N","V","F137011","Read"
64,"[C06][AI1] Uveitis",45496682,"Posterior cyclitis","N","V","F432300","Read"
64,"[C06][AI1] Uveitis",45500013,"Posterior uveitis NOS","N","V","F432200","Read"
64,"[C06][AI1] Uveitis",45500014,"Pars planitis","N","V","F432311","Read"
64,"[C06][AI1] Uveitis",45509954,"Vogt's disease","N","V","F137.13","Read"
64,"[C06][AI1] Uveitis",45516767,"Chronic iridocyclitis","N","V","F441.00","Read"
64,"[C06][AI1] Uveitis",45519995,"Panuveitis","N","V","F401100","Read"
64,"[C06][AI1] Uveitis",45524767,"BEHCET'S SYNDROME","N","V","136 BE","OXMIS"
64,"[C06][AI1] Uveitis",45524919,"SYMPATHETIC OPHTHALMIA","N","V","366 MP","OXMIS"
64,"[C06][AI1] Uveitis",45533289,"Posterior cyclitis, bilateral","N","V","H30.23","ICD10CM"
64,"[C06][AI1] Uveitis",45533332,"Sympathetic uveitis, bilateral","N","V","H44.133","ICD10CM"
64,"[C06][AI1] Uveitis",45538233,"Vogt-Koyanagi syndrome, right eye","N","V","H20.821","ICD10CM"
64,"[C06][AI1] Uveitis",45538291,"Sympathetic uveitis, right eye","N","V","H44.131","ICD10CM"
64,"[C06][AI1] Uveitis",45543014,"Focal chorioretinal inflammation, macular or paramacular, left eye","N","V","H30.042","ICD10CM"
64,"[C06][AI1] Uveitis",45543016,"Acute posterior multifocal placoid pigment epitheliopathy, left eye","N","V","H30.142","ICD10CM"
64,"[C06][AI1] Uveitis",45547848,"Acute posterior multifocal placoid pigment epitheliopathy, unspecified eye","N","V","H30.149","ICD10CM"
64,"[C06][AI1] Uveitis",45547904,"Panuveitis, bilateral","N","V","H44.113","ICD10CM"
64,"[C06][AI1] Uveitis",45548404,"Behçet disease","N","V","M35.2","ICD10"
64,"[C06][AI1] Uveitis",45552651,"Harada's disease, unspecified eye","N","V","H30.819","ICD10CM"
64,"[C06][AI1] Uveitis",45557386,"Focal chorioretinal inflammation, macular or paramacular, unspecified eye","N","V","H30.049","ICD10CM"
64,"[C06][AI1] Uveitis",45557388,"Posterior cyclitis","N","V","H30.2","ICD10"
64,"[C06][AI1] Uveitis",45557389,"Harada's disease, left eye","N","V","H30.812","ICD10CM"
64,"[C06][AI1] Uveitis",45562216,"Focal chorioretinal inflammation, macular or paramacular, right eye","N","V","H30.041","ICD10CM"
64,"[C06][AI1] Uveitis",45567006,"Vogt-Koyanagi syndrome, left eye","N","V","H20.822","ICD10CM"
64,"[C06][AI1] Uveitis",45567070,"Panuveitis, right eye","N","V","H44.111","ICD10CM"
64,"[C06][AI1] Uveitis",45571933,"Focal chorioretinal inflammation, juxtapapillary, left eye","N","V","H30.012","ICD10CM"
64,"[C06][AI1] Uveitis",45571935,"Posterior cyclitis, right eye","N","V","H30.21","ICD10CM"
64,"[C06][AI1] Uveitis",45571936,"Harada's disease","N","V","H30.81","ICD10CM"
64,"[C06][AI1] Uveitis",45571988,"Panuveitis","N","V","H44.11","ICD10CM"
64,"[C06][AI1] Uveitis",45576707,"Focal chorioretinal inflammation, juxtapapillary, bilateral","N","V","H30.013","ICD10CM"
64,"[C06][AI1] Uveitis",45576708,"Focal chorioretinal inflammation, juxtapapillary, unspecified eye","N","V","H30.019","ICD10CM"
64,"[C06][AI1] Uveitis",45576712,"Acute posterior multifocal placoid pigment epitheliopathy, right eye","N","V","H30.141","ICD10CM"
64,"[C06][AI1] Uveitis",45576713,"Harada's disease, right eye","N","V","H30.811","ICD10CM"
64,"[C06][AI1] Uveitis",45576761,"Panuveitis, left eye","N","V","H44.112","ICD10CM"
64,"[C06][AI1] Uveitis",45576762,"Panuveitis, unspecified eye","N","V","H44.119","ICD10CM"
64,"[C06][AI1] Uveitis",45581637,"Harada's disease, bilateral","N","V","H30.813","ICD10CM"
64,"[C06][AI1] Uveitis",45586409,"Vogt-Koyanagi syndrome, bilateral","N","V","H20.823","ICD10CM"
64,"[C06][AI1] Uveitis",45586431,"Focal chorioretinal inflammation, juxtapapillary, right eye","N","V","H30.011","ICD10CM"
64,"[C06][AI1] Uveitis",45586475,"Sympathetic uveitis","N","V","H44.13","ICD10CM"
64,"[C06][AI1] Uveitis",45586476,"Sympathetic uveitis, unspecified eye","N","V","H44.139","ICD10CM"
