"conceptSetId","conceptSetName","conceptId","conceptName","standardConcept","invalidReason","conceptCode","vocabularyId"
161,"[C01][AI4] SLE",257628,"Systemic lupus erythematosus","S","V","55464009","SNOMED"
161,"[C01][AI4] SLE",1340473,"Exacerbation of systemic lupus erythematosus","S","V","OMOP5166128","OMOP Extension"
161,"[C01][AI4] SLE",1419756,"Systemic lupus erythematosus","N","V","M32","ICD10CN"
161,"[C01][AI4] SLE",1419759,"Systemic lupus erythematosus with organ or system involvement","N","V","M32.1","ICD10CN"
161,"[C01][AI4] SLE",1419760,"Systemic lupus erythematosus with organ or system involvement","N","V","M32.100","ICD10CN"
161,"[C01][AI4] SLE",1419761,"Lupus nephritis (machine translation)","N","V","M32.101","ICD10CN"
161,"[C01][AI4] SLE",1419762,"Between lupus nephritis tubulointerstitial (machine translation)","N","V","M32.102","ICD10CN"
161,"[C01][AI4] SLE",1419763,"Lupus pneumonitis (machine translation)","N","V","M32.103","ICD10CN"
161,"[C01][AI4] SLE",1419764,"Lupus cardiomyopathy (machine translation)","N","V","M32.104","ICD10CN"
161,"[C01][AI4] SLE",1419765,"Lupus pericarditis (machine translation)","N","V","M32.105","ICD10CN"
161,"[C01][AI4] SLE",1419766,"Lupus peripheral neuropathy (machine translation)","N","V","M32.106","ICD10CN"
161,"[C01][AI4] SLE",1419767,"Lupus myelopathy (machine translation)","N","V","M32.107","ICD10CN"
161,"[C01][AI4] SLE",1419768,"Lupus-induced liver injury (machine translation)","N","V","M32.108","ICD10CN"
161,"[C01][AI4] SLE",1419769,"Liebmann - Sachs disease (machine translation)","N","V","M32.109","ICD10CN"
161,"[C01][AI4] SLE",1419770,"Lupus myopathy (machine translation)","N","V","M32.110","ICD10CN"
161,"[C01][AI4] SLE",1419771,"Lupus blood system damage (machine translation)","N","V","M32.111","ICD10CN"
161,"[C01][AI4] SLE",1419772,"Lupus gastrointestinal damage (machine translation)","N","V","M32.112","ICD10CN"
161,"[C01][AI4] SLE",1419773,"Lupus retinopathy (machine translation)","N","V","M32.113","ICD10CN"
161,"[C01][AI4] SLE",1419774,"Lupus encephalopathy (machine translation)","N","V","M32.114","ICD10CN"
161,"[C01][AI4] SLE",1419775,"Lupus serositis (machine translation)","N","V","M32.115","ICD10CN"
161,"[C01][AI4] SLE",1419776,"Other forms of systemic lupus erythematosus","N","V","M32.8","ICD10CN"
161,"[C01][AI4] SLE",1419777,"Other forms of systemic lupus erythematosus","N","V","M32.800","ICD10CN"
161,"[C01][AI4] SLE",1419778,"Systemic lupus erythematosus, unspecified","N","V","M32.9","ICD10CN"
161,"[C01][AI4] SLE",1419779,"Systemic lupus erythematosus, unspecified","N","V","M32.900","ICD10CN"
161,"[C01][AI4] SLE",1419780,"Occult systemic lupus erythematosus (machine translation)","N","V","M32.901","ICD10CN"
161,"[C01][AI4] SLE",1570612,"Systemic lupus erythematosus (SLE)","N","V","M32","ICD10CM"
161,"[C01][AI4] SLE",1570613,"Systemic lupus erythematosus with organ or system involvement","N","V","M32.1","ICD10CM"
161,"[C01][AI4] SLE",3106697,"Systemic lupus erythematosus","N","U","156450004","Nebraska Lexicon"
161,"[C01][AI4] SLE",3128109,"Systemic lupus erythematosus","N","U","201435004","Nebraska Lexicon"
161,"[C01][AI4] SLE",3128110,"Systemic lupus erythematosus with organ/system involvement","N","U","201437007","Nebraska Lexicon"
161,"[C01][AI4] SLE",3128111,"Systemic lupus erythematosus with pericarditis","N","U","201438002","Nebraska Lexicon"
161,"[C01][AI4] SLE",3128112,"Systemic lupus erythematosus NOS","N","U","201439005","Nebraska Lexicon"
161,"[C01][AI4] SLE",3173735,"Exacerbation os systemic lupus","S","V","13370001000004108","Nebraska Lexicon"
161,"[C01][AI4] SLE",3178808,"Systemic lupus complicating pregnancy","S","V","10990001000004109","Nebraska Lexicon"
161,"[C01][AI4] SLE",3214356,"Lung disease with systemic lupus erythematosus","N","V","196138005","Nebraska Lexicon"
161,"[C01][AI4] SLE",3215957,"Systemic lupus erythematosus with multisystem involvement","N","V","239890001","Nebraska Lexicon"
161,"[C01][AI4] SLE",3216244,"Demyelination of central nervous system co-occurrent and due to systemic lupus erythematosus","N","V","724781003","Nebraska Lexicon"
161,"[C01][AI4] SLE",3216269,"Systemic lupus erythematosus of childhood","N","V","403488004","Nebraska Lexicon"
161,"[C01][AI4] SLE",3229784,"Nephrosis co-occurrent and due to systemic lupus erythematosus","N","V","295121000119101","Nebraska Lexicon"
161,"[C01][AI4] SLE",3240841,"Acute systemic lupus erythematosus","N","V","403486000","Nebraska Lexicon"
161,"[C01][AI4] SLE",3276765,"Fulminating systemic lupus erythematosus","N","V","403487009","Nebraska Lexicon"
161,"[C01][AI4] SLE",3288519,"Systemic lupus erythematosus arthritis","N","V","95408003","Nebraska Lexicon"
161,"[C01][AI4] SLE",3321233,"Pericarditis co-occurrent and due to systemic lupus erythematosus","N","V","25380002","Nebraska Lexicon"
161,"[C01][AI4] SLE",3357576,"Systemic lupus erythematosus with organ/system involvement","N","V","239887007","Nebraska Lexicon"
161,"[C01][AI4] SLE",3360945,"Lupoid hepatitis","N","V","19682006","Nebraska Lexicon"
161,"[C01][AI4] SLE",3372742,"Nephrotic syndrome co-occurrent and due to systemic lupus erythematosus","N","V","295111000119108","Nebraska Lexicon"
161,"[C01][AI4] SLE",3380476,"Disseminated lupus erythematosus","N","V","55464009","Nebraska Lexicon"
161,"[C01][AI4] SLE",3384150,"Lupoid pneumonia","N","V","233730002","Nebraska Lexicon"
161,"[C01][AI4] SLE",3389187,"Limited lupus erythematosus","N","V","239886003","Nebraska Lexicon"
161,"[C01][AI4] SLE",3389302,"Nonbacterial verrucous endocarditis","N","V","54072008","Nebraska Lexicon"
161,"[C01][AI4] SLE",3392461,"Systemic lupus erythematosus in remission","N","V","698694005","Nebraska Lexicon"
161,"[C01][AI4] SLE",3398123,"Nephropathy co-occurrent and due to systemic lupus erythematosus","N","V","295101000119105","Nebraska Lexicon"
161,"[C01][AI4] SLE",3410534,"Systemic lupus erythematosus with pericarditis","N","V","309762007","Nebraska Lexicon"
